name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
RUMI,Bangalore,Indiranagar,"Indian, North, Indian, Awadhi, Mughlai, Kebabs, Biryani",4,61,61,61,500,18.46048207
Sardarji Londonwaley,Bangalore,Koramangala,"Indian, North, Indian, Punjabi, Chinese, Biryani",4,55,55,55,350,24.8664244
Main Lassi Shop,Bangalore,Shivaji Nagar,"Beverages, Juices, Ice, Cream, Pizzas, Desserts",3.8,38,38,38,250,17.53745796
ARAMANE DONNE BIRIYANI,Bangalore,Koramangala,Indian,4.3,49,49,49,300,19.84501822
Ambur Star Briyani Since 1890,Bangalore,Indiranagar,"Biryani, Chettinad, Andhra, Beverages, Seafood",4.3,48,48,48,600,29.70764555
Asha Food Camp,Bangalore,Malleshwaram,"Indian, Beverages, Biryani, Chinese, Desserts, Ice, Cream, Juices, Tandoor, North, Indian, Street, Food, Chaat, South, Indian",4.5,54,54,54,250,27.97472745
Karama,Bangalore,Pulikeshi Nagar,"Arabian, Biryani, Desserts, Mughlai, North, Indian",4.2,58,58,58,400,26.10974562
EatFit,Bangalore,Central Bangalore,"Healthy, Food, Pizzas, North, Indian, Thalis, Biryani",4.4,38,38,38,270,27.35306684
Dal Chawal Roti Sabji,Bangalore,Shantinagar,"Thalis, Combo, North, Indian",,46,46,46,200,
Fabelle Chocolates - ITC Gardenia,Bangalore,Ashok Nagar,"Bakery, Desserts, Sweets",,34,34,34,600,
Karnataka biryani point,Bangalore,Srirampura,Biryani,4.1,47,47,47,250,18.92199412
Swathi Greenland,Bangalore,Vijayanagar,"Chinese, North, Indian, Desserts, Andhra, Beverages, Seafood, Punjabi, Hyderabadi",4.4,62,62,62,400,17.30003278
Dhaba Estd 1986 Delhi,Bangalore,Indiranagar,"Biryani, Hyderabadi, North, Indian, Indian, Tandoor, Punjabi",4.2,58,58,58,900,19.38350617
Uttara Karnataka Jolad Rotti & Chapathi Store,Bangalore,Shankarapura,"South, Indian",4,50,50,50,200,18.46048207
The Salad Studio,Bangalore,Indiranagar,"Healthy, Food, Salads, Cafe, Fast, Food, Beverages",4.4,55,55,55,300,20.30653027
Church Street Social,Bangalore,Ashok Nagar,"Indian, Chinese, South, Indian, American, Fast, Food, Kebabs, Mughlai, Biryani, Combo",4.2,38,38,38,500,19.38350617
DONUT HUBB,Bangalore,Frazer Town,"Desserts, Beverages",,53,53,53,150,
Mad Over Donuts,Bangalore,Ashok Nagar,"Desserts, Sweets, Bakery",4.2,51,51,51,200,16.51366766
ITC Gardenia - Flavours,Bangalore,Ashok Nagar,"Indian, Continental, North, Indian, Biryani, Desserts",4.2,49,49,49,1000,12.78699424
Sri Udupi Grand Veg,Bangalore,Shanti Nagar,"Beverages, North, Indian, South, Indian",4.1,38,38,38,250,18.92199412
Om Shiva Shakthi chats center,Bangalore,Basavanagudi,"Fast, Food, Chaat, Beverages",4.4,51,51,51,150,17.30003278
Oven Story Pizza,Bangalore,Shantinagar,Pizzas,4.1,44,44,44,600,18.92199412
BASAVESHWAR KHANAVALI,Bangalore,Jayanagar,Indian,4.2,48,48,48,300,19.38350617
New Krishna Sagar,Bangalore,New Tippasandra,"South, Indian, North, Indian, Chinese, Snacks",4.1,59,59,59,100,16.12048509
Voosh Thalis & Bowls,Bangalore,Basavanagudi,"North, Indian, Home, Food, Indian, Beverages, Thalis, Combo",3.5,55,55,55,199,13.76138971
Malleshwaram dose corner,Bangalore,Malleshwaram,"South, Indian, Snacks",4.4,54,54,54,120,27.35306684
Altaf's Chillies Restaurants,Bangalore,Cooke Town,"North, Indian, Chinese",4.3,55,55,55,250,26.73140623
Momoz,Bangalore,Banashankari,"Chinese, Thai, Seafood, Asian, Combo, Malaysian",3.8,53,53,53,350,23.62310318
Hotel Dwarka,Bangalore,Basavanagudi,"South, Indian",4.4,52,52,52,200,30.39852103
Great Indian Khichdi,Bangalore,Rajajinagar,"Indian, Home, Food, Healthy, Food, Snacks",4.2,56,56,56,200,26.10974562
Magnolia Bakery,Bangalore,Indiranagar,"Desserts, Bakery, Ice, Cream",4.6,54,54,54,500,21.22955438
RS Shiv Sagar,Bangalore,Seshadripuram,"North, Indian, Chinese, South, Indian, Mexican",4.3,61,61,61,500,19.84501822
Fresh Bites,Bangalore,Indiranagar,"North, Indian, South, Indian, Chinese, Fast, Food, Juices, Tandoor",4.1,53,53,53,200,25.48808501
Kim Lee,Bangalore,Jogupalya,Chinese,4.4,50,50,50,650,20.30653027
Theobroma,Bangalore,Central Bangalore,"Desserts, Bakery, Beverages",4.5,33,33,33,500,27.97472745
